,id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,quality,tow,best_quality
36,36,7.8,0.6,0.14,2.4,0.086,3.0,0.9975,3.42,0.6,10.8,6,0,1
37,37,8.1,0.38,0.28,2.1,0.066,13.0,0.9968,3.23,0.73,9.7,7,0,1
38,38,5.7,1.13,0.09,1.5,0.172,7.0,0.994,3.5,0.48,9.8,4,0,0
39,39,7.3,0.45,0.36,5.9,0.074,12.0,0.9978,3.33,0.83,10.5,5,0,0
40,40,7.3,0.45,0.36,5.9,0.074,12.0,0.9978,3.33,0.83,10.5,5,0,0
41,41,8.8,0.61,0.3,2.8,0.088,17.0,0.9976,3.26,0.51,9.3,4,0,0
42,42,7.5,0.49,0.2,2.6,0.332,8.0,0.9968,3.21,0.9,10.5,6,0,1
43,43,8.1,0.66,0.22,2.2,0.069,9.0,0.9968,3.3,1.2,10.3,5,0,0
44,44,6.8,0.67,0.02,1.8,0.05,5.0,0.9962,3.48,0.52,9.5,5,0,0
45,45,4.6,0.52,0.15,2.1,0.054,8.0,0.9934,3.9,0.56,13.1,4,0,0
46,46,7.7,0.935,0.43,2.2,0.114,22.0,0.997,3.25,0.73,9.2,5,0,0
47,47,8.7,0.29,0.52,1.6,0.113,12.0,0.9969,3.25,0.58,9.5,5,0,0
48,48,6.4,0.4,0.23,1.6,0.066,5.0,0.9958,3.34,0.56,9.2,5,0,0
49,49,5.6,0.31,0.37,1.4,0.074,12.0,0.9954,3.32,0.58,9.2,5,0,0
50,50,8.8,0.66,0.26,1.7,0.074,4.0,0.9971,3.15,0.74,9.2,5,0,0
51,51,6.6,0.52,0.04,2.2,0.069,8.0,0.9956,3.4,0.63,9.4,6,0,1
52,52,6.6,0.5,0.04,2.1,0.068,6.0,0.9955,3.39,0.64,9.4,6,0,1
53,53,8.6,0.38,0.36,3.0,0.081,30.0,0.997,3.2,0.56,9.4,5,0,0
54,54,7.6,0.51,0.15,2.8,0.11,33.0,0.9955,3.17,0.63,10.2,6,0,1
55,55,7.7,0.62,0.04,3.8,0.084,25.0,0.9978,3.34,0.53,9.5,5,0,0
56,56,10.2,0.42,0.57,3.4,0.07,4.0,0.9971,3.04,0.63,9.6,5,0,0
57,57,7.5,0.63,0.12,5.1,0.111,50.0,0.9983,3.26,0.77,9.4,5,0,0
58,58,7.8,0.59,0.18,2.3,0.076,17.0,0.9975,3.43,0.59,10.0,5,0,0
59,59,7.3,0.39,0.31,2.4,0.074,9.0,0.9962,3.41,0.54,9.4,6,0,1
60,60,8.8,0.4,0.4,2.2,0.079,19.0,0.998,3.44,0.64,9.2,5,0,0
61,61,7.7,0.69,0.49,1.8,0.115,20.0,0.9968,3.21,0.71,9.3,5,0,0
62,62,7.5,0.52,0.16,1.9,0.085,12.0,0.9968,3.38,0.62,9.5,7,0,1
63,63,7.0,0.735,0.05,2.0,0.081,13.0,0.9966,3.39,0.57,9.8,5,0,0
64,64,7.2,0.725,0.05,4.65,0.086,4.0,0.9962,3.41,0.39,10.9,5,0,0
65,65,7.2,0.725,0.05,4.65,0.086,4.0,0.9962,3.41,0.39,10.9,5,0,0
66,66,7.5,0.52,0.11,1.5,0.079,11.0,0.9968,3.42,0.58,9.6,5,0,0
67,67,6.6,0.705,0.07,1.6,0.076,6.0,0.9962,3.44,0.58,10.7,5,0,0
68,68,9.3,0.32,0.57,2.0,0.074,27.0,0.9969,3.28,0.79,10.7,5,0,0
69,69,8.0,0.705,0.05,1.9,0.074,8.0,0.9962,3.34,0.95,10.5,6,0,1
70,70,7.7,0.63,0.08,1.9,0.076,15.0,0.9967,3.32,0.54,9.5,6,0,1
71,71,7.7,0.67,0.23,2.1,0.088,17.0,0.9962,3.32,0.48,9.5,5,0,0
72,72,7.7,0.69,0.22,1.9,0.084,18.0,0.9961,3.31,0.48,9.5,5,0,0
73,73,8.3,0.675,0.26,2.1,0.084,11.0,0.9976,3.31,0.53,9.2,4,0,0
74,74,9.7,0.32,0.54,2.5,0.094,28.0,0.9984,3.28,0.82,9.6,5,0,0
75,75,8.8,0.41,0.64,2.2,0.093,9.0,0.9986,3.54,0.66,10.5,5,0,0
76,76,8.8,0.41,0.64,2.2,0.093,9.0,0.9986,3.54,0.66,10.5,5,0,0
77,77,6.8,0.785,0.0,2.4,0.104,14.0,0.9966,3.52,0.55,10.7,6,0,1
78,78,6.7,0.75,0.12,2.0,0.086,12.0,0.9958,3.38,0.52,10.1,5,0,0
79,79,8.3,0.625,0.2,1.5,0.08,27.0,0.9972,3.16,1.12,9.1,4,0,0
80,80,6.2,0.45,0.2,1.6,0.069,3.0,0.9958,3.41,0.56,9.2,5,0,0
81,81,7.8,0.43,0.7,1.9,0.464,22.0,0.9974,3.13,1.28,9.4,5,0,0
82,82,7.4,0.5,0.47,2.0,0.086,21.0,0.997,3.36,0.57,9.1,5,0,0
83,83,7.3,0.67,0.26,1.8,0.401,16.0,0.9969,3.16,1.14,9.4,5,0,0
84,84,6.3,0.3,0.48,1.8,0.069,18.0,0.9959,3.44,0.78,10.3,6,0,1
85,85,6.9,0.55,0.15,2.2,0.076,19.0,0.9961,3.41,0.59,10.1,5,0,0
86,86,8.6,0.49,0.28,1.9,0.11,20.0,0.9972,2.93,1.95,9.9,6,0,1
87,87,7.7,0.49,0.26,1.9,0.062,9.0,0.9966,3.39,0.64,9.6,5,0,0
88,88,9.3,0.39,0.44,2.1,0.107,34.0,0.9978,3.14,1.22,9.5,5,0,0
89,89,7.0,0.62,0.08,1.8,0.076,8.0,0.9978,3.48,0.53,9.0,5,0,0
90,90,7.9,0.52,0.26,1.9,0.079,42.0,0.9964,3.23,0.54,9.5,5,0,0
91,91,8.6,0.49,0.28,1.9,0.11,20.0,0.9972,2.93,1.95,9.9,6,0,1
92,92,8.6,0.49,0.29,2.0,0.11,19.0,0.9972,2.93,1.98,9.8,5,0,0
93,93,7.7,0.49,0.26,1.9,0.062,9.0,0.9966,3.39,0.64,9.6,5,0,0
94,94,5.0,1.02,0.04,1.4,0.045,41.0,0.9938,3.75,0.48,10.5,4,0,0
95,95,4.7,0.6,0.17,2.3,0.058,17.0,0.9932,3.85,0.6,12.9,6,0,1
96,96,6.8,0.775,0.0,3.0,0.102,8.0,0.9965,3.45,0.56,10.7,5,0,0
97,97,7.0,0.5,0.25,2.0,0.07,3.0,0.9963,3.25,0.63,9.2,5,0,0
98,98,7.6,0.9,0.06,2.5,0.079,5.0,0.9967,3.39,0.56,9.8,5,0,0
99,99,8.1,0.545,0.18,1.9,0.08,13.0,0.9972,3.3,0.59,9.0,6,0,1
100,100,8.3,0.61,0.3,2.1,0.084,11.0,0.9972,3.4,0.61,10.2,6,0,1
101,101,7.8,0.5,0.3,1.9,0.075,8.0,0.9959,3.31,0.56,10.4,6,0,1
102,102,8.1,0.545,0.18,1.9,0.08,13.0,0.9972,3.3,0.59,9.0,6,0,1
103,103,8.1,0.575,0.22,2.1,0.077,12.0,0.9967,3.29,0.51,9.2,5,0,0
104,104,7.2,0.49,0.24,2.2,0.07,5.0,0.996,3.33,0.48,9.4,5,0,0
105,105,8.1,0.575,0.22,2.1,0.077,12.0,0.9967,3.29,0.51,9.2,5,0,0
106,106,7.8,0.41,0.68,1.7,0.467,18.0,0.9973,3.08,1.31,9.3,5,0,0
107,107,6.2,0.63,0.31,1.7,0.088,15.0,0.9969,3.46,0.79,9.3,5,0,0
108,108,8.0,0.33,0.53,2.5,0.091,18.0,0.9976,3.37,0.8,9.6,6,0,1
109,109,8.1,0.785,0.52,2.0,0.122,37.0,0.9969,3.21,0.69,9.3,5,0,0
110,110,7.8,0.56,0.19,1.8,0.104,12.0,0.9964,3.19,0.93,9.5,5,0,0
111,111,8.4,0.62,0.09,2.2,0.084,11.0,0.9964,3.15,0.66,9.8,5,0,0
112,112,8.4,0.6,0.1,2.2,0.085,14.0,0.9964,3.15,0.66,9.8,5,0,0
113,113,10.1,0.31,0.44,2.3,0.08,22.0,0.9988,3.32,0.67,9.7,6,0,1
114,114,7.8,0.56,0.19,1.8,0.104,12.0,0.9964,3.19,0.93,9.5,5,0,0
115,115,9.4,0.4,0.31,2.2,0.09,13.0,0.9966,3.07,0.63,10.5,6,0,1
116,116,8.3,0.54,0.28,1.9,0.077,11.0,0.9978,3.39,0.61,10.0,6,0,1
117,117,7.8,0.56,0.12,2.0,0.082,7.0,0.997,3.37,0.5,9.4,6,0,1
118,118,8.8,0.55,0.04,2.2,0.119,14.0,0.9962,3.21,0.6,10.9,6,0,1
119,119,7.0,0.69,0.08,1.8,0.097,22.0,0.9959,3.34,0.54,9.2,6,0,1
120,120,7.3,1.07,0.09,1.7,0.178,10.0,0.9962,3.3,0.57,9.0,5,0,0
121,121,8.8,0.55,0.04,2.2,0.119,14.0,0.9962,3.21,0.6,10.9,6,0,1
122,122,7.3,0.695,0.0,2.5,0.075,3.0,0.998,3.49,0.52,9.2,5,0,0
123,123,8.0,0.71,0.0,2.6,0.08,11.0,0.9976,3.44,0.53,9.5,5,0,0
124,124,7.8,0.5,0.17,1.6,0.082,21.0,0.996,3.39,0.48,9.5,5,0,0
125,125,9.0,0.62,0.04,1.9,0.146,27.0,0.9984,3.16,0.7,9.4,5,0,0
126,126,8.2,1.33,0.0,1.7,0.081,3.0,0.9964,3.53,0.49,10.9,5,0,0
127,127,8.1,1.33,0.0,1.8,0.082,3.0,0.9964,3.54,0.48,10.9,5,0,0
128,128,8.0,0.59,0.16,1.8,0.065,3.0,0.9962,3.42,0.92,10.5,7,0,1
129,129,6.1,0.38,0.15,1.8,0.072,6.0,0.9955,3.42,0.57,9.4,5,0,0
130,130,8.0,0.745,0.56,2.0,0.118,30.0,0.9968,3.24,0.66,9.4,5,0,0
131,131,5.6,0.5,0.09,2.3,0.049,17.0,0.9937,3.63,0.63,13.0,5,0,0
132,132,5.6,0.5,0.09,2.3,0.049,17.0,0.9937,3.63,0.63,13.0,5,0,0
133,133,6.6,0.5,0.01,1.5,0.06,17.0,0.9952,3.4,0.58,9.8,6,0,1
134,134,7.9,1.04,0.05,2.2,0.084,13.0,0.9959,3.22,0.55,9.9,6,0,1
135,135,8.4,0.745,0.11,1.9,0.09,16.0,0.9965,3.19,0.82,9.6,5,0,0
136,136,8.3,0.715,0.15,1.8,0.089,10.0,0.9968,3.23,0.77,9.5,5,0,0
137,137,7.2,0.415,0.36,2.0,0.081,13.0,0.9972,3.48,0.64,9.2,5,0,0
138,138,7.8,0.56,0.19,2.1,0.081,15.0,0.9962,3.33,0.54,9.5,5,0,0
139,139,7.8,0.56,0.19,2.0,0.081,17.0,0.9962,3.32,0.54,9.5,5,0,0
140,140,8.4,0.745,0.11,1.9,0.09,16.0,0.9965,3.19,0.82,9.6,5,0,0
141,141,8.3,0.715,0.15,1.8,0.089,10.0,0.9968,3.23,0.77,9.5,5,0,0
142,142,5.2,0.34,0.0,1.8,0.05,27.0,0.9916,3.68,0.79,14.0,6,0,1
143,143,6.3,0.39,0.08,1.7,0.066,3.0,0.9954,3.34,0.58,9.4,5,0,0
144,144,5.2,0.34,0.0,1.8,0.05,27.0,0.9916,3.68,0.79,14.0,6,0,1
145,145,8.1,0.67,0.55,1.8,0.117,32.0,0.9968,3.17,0.62,9.4,5,0,0
146,146,5.8,0.68,0.02,1.8,0.087,21.0,0.9944,3.54,0.52,10.0,5,0,0
147,147,7.6,0.49,0.26,1.6,0.236,10.0,0.9968,3.11,0.8,9.3,5,0,0
148,148,6.9,0.49,0.1,2.3,0.074,12.0,0.9959,3.42,0.58,10.2,6,0,1
149,149,8.2,0.4,0.44,2.8,0.089,11.0,0.9975,3.53,0.61,10.5,6,0,1
150,150,7.3,0.33,0.47,2.1,0.077,5.0,0.9958,3.33,0.53,10.3,6,0,1
151,151,9.2,0.52,1.0,3.4,0.61,32.0,0.9996,2.74,2.0,9.4,4,0,0
152,152,7.5,0.6,0.03,1.8,0.095,25.0,0.995,3.35,0.54,10.1,5,0,0
153,153,7.5,0.6,0.03,1.8,0.095,25.0,0.995,3.35,0.54,10.1,5,0,0
154,154,7.1,0.43,0.42,5.5,0.07,29.0,0.9973,3.42,0.72,10.5,5,0,0
155,155,7.1,0.43,0.42,5.5,0.071,28.0,0.9973,3.42,0.71,10.5,5,0,0
156,156,7.1,0.43,0.42,5.5,0.07,29.0,0.9973,3.42,0.72,10.5,5,0,0
157,157,7.1,0.43,0.42,5.5,0.071,28.0,0.9973,3.42,0.71,10.5,5,0,0
158,158,7.1,0.68,0.0,2.2,0.073,12.0,0.9969,3.48,0.5,9.3,5,0,0
159,159,6.8,0.6,0.18,1.9,0.079,18.0,0.9968,3.59,0.57,9.3,6,0,1
160,160,7.6,0.95,0.03,2.0,0.09,7.0,0.9959,3.2,0.56,9.6,5,0,0
161,161,7.6,0.68,0.02,1.3,0.072,9.0,0.9965,3.17,1.08,9.2,4,0,0
162,162,7.8,0.53,0.04,1.7,0.076,17.0,0.9964,3.33,0.56,10.0,6,0,1
163,163,7.4,0.6,0.26,7.3,0.07,36.0,0.9982,3.37,0.49,9.4,5,0,0
164,164,7.3,0.59,0.26,7.2,0.07,35.0,0.9981,3.37,0.49,9.4,5,0,0
165,165,7.8,0.63,0.48,1.7,0.1,14.0,0.9961,3.19,0.62,9.5,5,0,0
166,166,6.8,0.64,0.1,2.1,0.085,18.0,0.9956,3.34,0.52,10.2,5,0,0
167,167,7.3,0.55,0.03,1.6,0.072,17.0,0.9956,3.37,0.48,9.0,4,0,0
168,168,6.8,0.63,0.07,2.1,0.089,11.0,0.9953,3.47,0.55,10.4,6,0,1
169,169,7.5,0.705,0.24,1.8,0.36,15.0,0.9964,3.0,1.59,9.5,5,0,0
170,170,7.9,0.885,0.03,1.8,0.058,4.0,0.9972,3.36,0.33,9.1,4,0,0
171,171,8.0,0.42,0.17,2.0,0.073,6.0,0.9972,3.29,0.61,9.2,6,0,1
172,172,8.0,0.42,0.17,2.0,0.073,6.0,0.9972,3.29,0.61,9.2,6,0,1
173,173,7.4,0.62,0.05,1.9,0.068,24.0,0.9961,3.42,0.57,11.5,6,0,1
174,174,7.3,0.38,0.21,2.0,0.08,7.0,0.9961,3.33,0.47,9.5,5,0,0
175,175,6.9,0.5,0.04,1.5,0.085,19.0,0.9958,3.35,0.78,9.5,5,0,0
176,176,7.3,0.38,0.21,2.0,0.08,7.0,0.9961,3.33,0.47,9.5,5,0,0
177,177,7.5,0.52,0.42,2.3,0.087,8.0,0.9972,3.58,0.61,10.5,6,0,1
178,178,7.0,0.805,0.0,2.5,0.068,7.0,0.9969,3.48,0.56,9.6,5,0,0
179,179,8.8,0.61,0.14,2.4,0.067,10.0,0.9969,3.19,0.59,9.5,5,0,0
180,180,8.8,0.61,0.14,2.4,0.067,10.0,0.9969,3.19,0.59,9.5,5,0,0
181,181,8.9,0.61,0.49,2.0,0.27,23.0,0.9972,3.12,1.02,9.3,5,0,0
182,182,7.2,0.73,0.02,2.5,0.076,16.0,0.9972,3.44,0.52,9.3,5,0,0
183,183,6.8,0.61,0.2,1.8,0.077,11.0,0.9971,3.54,0.58,9.3,5,0,0
184,184,6.7,0.62,0.21,1.9,0.079,8.0,0.997,3.52,0.58,9.3,6,0,1
185,185,8.9,0.31,0.57,2.0,0.111,26.0,0.9971,3.26,0.53,9.7,5,0,0
186,186,7.4,0.39,0.48,2.0,0.082,14.0,0.9972,3.34,0.55,9.2,5,0,0
187,187,7.7,0.705,0.1,2.6,0.084,9.0,0.9976,3.39,0.49,9.7,5,0,0
188,188,7.9,0.5,0.33,2.0,0.084,15.0,0.9968,3.2,0.55,9.5,5,0,0
189,189,7.9,0.49,0.32,1.9,0.082,17.0,0.9968,3.2,0.55,9.5,5,0,0
190,190,8.2,0.5,0.35,2.9,0.077,21.0,0.9976,3.23,0.62,9.4,5,0,0
191,191,6.4,0.37,0.25,1.9,0.074,21.0,0.9974,3.57,0.62,9.8,6,0,1
192,192,6.8,0.63,0.12,3.8,0.099,16.0,0.9969,3.28,0.61,9.5,5,0,0
193,193,7.6,0.55,0.21,2.2,0.071,7.0,0.9964,3.28,0.55,9.7,5,0,0
194,194,7.6,0.55,0.21,2.2,0.071,7.0,0.9964,3.28,0.55,9.7,5,0,0
195,195,7.8,0.59,0.33,2.0,0.074,24.0,0.9968,3.25,0.54,9.4,5,0,0
196,196,7.3,0.58,0.3,2.4,0.074,15.0,0.9968,3.46,0.59,10.2,5,0,0
197,197,11.5,0.3,0.6,2.0,0.067,12.0,0.9981,3.11,0.97,10.1,6,0,1
198,198,5.4,0.835,0.08,1.2,0.046,13.0,0.9924,3.57,0.85,13.0,7,0,1
199,199,6.9,1.09,0.06,2.1,0.061,12.0,0.9948,3.51,0.43,11.4,4,0,0
200,200,9.6,0.32,0.47,1.4,0.056,9.0,0.99695,3.22,0.82,10.3,7,0,1
201,201,8.8,0.37,0.48,2.1,0.097,39.0,0.9975,3.04,1.03,9.3,5,0,0
202,202,6.8,0.5,0.11,1.5,0.075,16.0,0.99545,3.36,0.79,9.5,5,0,0
203,203,7.0,0.42,0.35,1.6,0.088,16.0,0.9961,3.34,0.55,9.2,5,0,0
204,204,7.0,0.43,0.36,1.6,0.089,14.0,0.99615,3.34,0.56,9.2,6,0,1
205,205,12.8,0.3,0.74,2.6,0.095,9.0,0.9994,3.2,0.77,10.8,7,0,1
206,206,12.8,0.3,0.74,2.6,0.095,9.0,0.9994,3.2,0.77,10.8,7,0,1
207,207,7.8,0.57,0.31,1.8,0.069,26.0,0.99625,3.29,0.53,9.3,5,0,0
208,208,7.8,0.44,0.28,2.7,0.1,18.0,0.9966,3.22,0.67,9.4,5,0,0
209,209,11.0,0.3,0.58,2.1,0.054,7.0,0.998,3.31,0.88,10.5,7,0,1
210,210,9.7,0.53,0.6,2.0,0.039,5.0,0.99585,3.3,0.86,12.4,6,0,1
211,211,8.0,0.725,0.24,2.8,0.083,10.0,0.99685,3.35,0.56,10.0,6,0,1
212,212,11.6,0.44,0.64,2.1,0.059,5.0,0.998,3.21,0.67,10.2,6,0,1
213,213,8.2,0.57,0.26,2.2,0.06,28.0,0.9959,3.3,0.43,10.1,5,0,0
214,214,7.8,0.735,0.08,2.4,0.092,10.0,0.9974,3.24,0.71,9.8,6,0,1
215,215,7.0,0.49,0.49,5.6,0.06,26.0,0.9974,3.34,0.76,10.5,5,0,0
216,216,8.7,0.625,0.16,2.0,0.101,13.0,0.9962,3.14,0.57,11.0,5,0,0
217,217,8.1,0.725,0.22,2.2,0.072,11.0,0.9967,3.36,0.55,9.1,5,0,0
218,218,7.5,0.49,0.19,1.9,0.076,10.0,0.9957,3.39,0.54,9.7,5,0,0
219,219,7.8,0.53,0.33,2.4,0.08,24.0,0.99655,3.3,0.6,9.5,5,0,0
220,220,7.8,0.34,0.37,2.0,0.082,24.0,0.9964,3.34,0.59,9.4,6,0,1
221,221,7.4,0.53,0.26,2.0,0.101,16.0,0.9957,3.15,0.57,9.4,5,0,0
222,222,6.8,0.61,0.04,1.5,0.057,5.0,0.99525,3.42,0.6,9.5,5,0,0
223,223,8.6,0.645,0.25,2.0,0.083,8.0,0.99815,3.28,0.6,10.0,6,0,1
224,224,8.4,0.635,0.36,2.0,0.089,15.0,0.99745,3.31,0.57,10.4,4,0,0
225,225,7.7,0.43,0.25,2.6,0.073,29.0,0.99615,3.37,0.58,10.5,6,0,1
226,226,8.9,0.59,0.5,2.0,0.337,27.0,0.9964,3.04,1.61,9.5,6,0,1
227,227,9.0,0.82,0.14,2.6,0.089,9.0,0.9984,3.39,0.63,9.8,5,0,0
228,228,7.7,0.43,0.25,2.6,0.073,29.0,0.99615,3.37,0.58,10.5,6,0,1
229,229,6.9,0.52,0.25,2.6,0.081,10.0,0.99685,3.46,0.5,11.0,5,0,0
230,230,5.2,0.48,0.04,1.6,0.054,19.0,0.9927,3.54,0.62,12.2,7,0,1
231,231,8.0,0.38,0.06,1.8,0.078,12.0,0.99625,3.37,0.52,9.9,6,0,1
232,232,8.5,0.37,0.2,2.8,0.09,18.0,0.998,3.34,0.7,9.6,6,0,1
233,233,6.9,0.52,0.25,2.6,0.081,10.0,0.99685,3.46,0.5,11.0,5,0,0
234,234,8.2,1.0,0.09,2.3,0.065,7.0,0.99685,3.32,0.55,9.0,6,0,1
235,235,7.2,0.63,0.0,1.9,0.097,14.0,0.99675,3.37,0.58,9.0,6,0,1
236,236,7.2,0.63,0.0,1.9,0.097,14.0,0.99675,3.37,0.58,9.0,6,0,1
237,237,7.2,0.645,0.0,1.9,0.097,15.0,0.99675,3.37,0.58,9.2,6,0,1
238,238,7.2,0.63,0.0,1.9,0.097,14.0,0.99675,3.37,0.58,9.0,6,0,1
239,239,8.2,1.0,0.09,2.3,0.065,7.0,0.99685,3.32,0.55,9.0,6,0,1
240,240,8.9,0.635,0.37,1.7,0.263,5.0,0.9971,3.0,1.09,9.3,5,0,0
241,241,12.0,0.38,0.56,2.1,0.093,6.0,0.99925,3.14,0.71,10.9,6,0,1
242,242,7.7,0.58,0.1,1.8,0.102,28.0,0.99565,3.08,0.49,9.8,6,0,1
243,243,15.0,0.21,0.44,2.2,0.075,10.0,1.00005,3.07,0.84,9.2,7,0,1
244,244,15.0,0.21,0.44,2.2,0.075,10.0,1.00005,3.07,0.84,9.2,7,0,1
245,245,7.3,0.66,0.0,2.0,0.084,6.0,0.9983,3.61,0.96,9.9,6,0,1
246,246,7.1,0.68,0.07,1.9,0.075,16.0,0.99685,3.38,0.52,9.5,5,0,0
247,247,8.2,0.6,0.17,2.3,0.072,11.0,0.9963,3.2,0.45,9.3,5,0,0
248,248,7.7,0.53,0.06,1.7,0.074,9.0,0.99615,3.35,0.48,9.8,6,0,1
249,249,7.3,0.66,0.0,2.0,0.084,6.0,0.9983,3.61,0.96,9.9,6,0,1
250,250,10.8,0.32,0.44,1.6,0.063,16.0,0.9985,3.22,0.78,10.0,6,0,1
251,251,7.1,0.6,0.0,1.8,0.074,16.0,0.9972,3.47,0.7,9.9,6,0,1
252,252,11.1,0.35,0.48,3.1,0.09,5.0,0.9986,3.17,0.53,10.5,5,0,0
253,253,7.7,0.775,0.42,1.9,0.092,8.0,0.9959,3.23,0.59,9.5,5,0,0
254,254,7.1,0.6,0.0,1.8,0.074,16.0,0.9972,3.47,0.7,9.9,6,0,1
255,255,8.0,0.57,0.23,3.2,0.073,17.0,0.99675,3.26,0.57,9.3,5,0,0
256,256,9.4,0.34,0.37,2.2,0.075,5.0,0.998,3.22,0.62,9.2,5,0,0
257,257,6.6,0.695,0.0,2.1,0.075,12.0,0.9968,3.49,0.67,9.2,5,0,0
258,258,7.7,0.41,0.76,1.8,0.611,8.0,0.9968,3.06,1.26,9.4,5,0,0
259,259,10.0,0.31,0.47,2.6,0.085,14.0,0.99965,3.36,0.8,10.5,7,0,1
260,260,7.9,0.33,0.23,1.7,0.077,18.0,0.99625,3.29,0.65,9.3,5,0,0
261,261,7.0,0.975,0.04,2.0,0.087,12.0,0.99565,3.35,0.6,9.4,4,0,0
262,262,8.0,0.52,0.03,1.7,0.07,10.0,0.99575,3.34,0.57,10.0,5,0,0
263,263,7.9,0.37,0.23,1.8,0.077,23.0,0.9963,3.28,0.67,9.3,5,0,0
264,264,12.5,0.56,0.49,2.4,0.064,5.0,0.9999,3.08,0.87,10.9,5,0,0
265,265,11.8,0.26,0.52,1.8,0.071,6.0,0.9968,3.2,0.72,10.2,7,0,1
266,266,8.1,0.87,0.0,3.3,0.096,26.0,1.00025,3.6,0.72,9.8,4,0,0
267,267,7.9,0.35,0.46,3.6,0.078,15.0,0.9973,3.35,0.86,12.8,8,0,1
268,268,6.9,0.54,0.04,3.0,0.077,7.0,0.9987,3.69,0.91,9.4,6,0,1
269,269,11.5,0.18,0.51,4.0,0.104,4.0,0.9996,3.28,0.97,10.1,6,0,1
270,270,7.9,0.545,0.06,4.0,0.087,27.0,0.9965,3.36,0.67,10.7,6,0,1
